company,type_of_server,nature_of_breach,vertical,raw_record_number,severity
Alinta Energy,unknown,didn't have any proper systems or security to protect any of the sensitive data it stored,energy,1.1 million customers,CRITICAL
Antheus Tecnologia,unkown,"unsecured database, no password protection in the cloud",technology,81.5 million records,CRITICAL
Clearview,unkown,not specified,AI,unknown,MEDIUM
Denmark,unkown,software bug in URL,government,1.26 million people,CRITICAL
Entercom Radio,unknown,someone was able to access database backup files stored third-party cloud hosting services,media,unknown,MEDIUM
Estee Lauder,unsecured server,no password protection or any kind of security protecting the data base,beauty,440 million records,CRITICAL
Keepnet labs,Elasticsearch,publicly accessible database,security,5 billion records,CRITICAL
LabCorp,unknown,"back-end of the website was not password protected, people could get to it through a google url",healthcare,"10,000 records",HIGH
MCA Wizards,AWS,unsecured s3 bucket,finance,425GB,MEDIUM
Microsoft,Elasticsearch,unsecured server,technology,"250,000,000",HIGH
Slickwraps,unknown,"a white hacker found a vulnerability in their secuirty systems and tried to alert them, they ignored it and then another hacker found a post from the original hacker talking about it and was able to get in to access personal information",technology,"370,000 customers",HIGH
tetrad,AWS,"exposed cloud container, misconfigurations in security settings,",business,747 GB,MEDIUM
TH Suite,AWS,unsecured s3 bucket,medical marijuana,"85,000 records",HIGH
Unknown,Google,researches found an exposed database of an unknown company,unkown,200 million records,CRITICAL
Virgin Media,unkown,unsecured database,communications,900k customers,MEDIUM
Whisper,unsecured server,open database to the public,social media,900 million records,CRITICAL
Alibaba,server with Chinese IP address,publicly accessible database,e-commerce,56 million US residents,CRITICAL
Peekaboo,Elasticsearch,"unsecured database, ""I've never seen a server so blatantly open""",app,70 million log files,CRITICAL
NextMotion,AWS,unsecure S3 bucket,healthcare,"900,000 files",HIGH
Photo Squared,AWS,"misconfigured S3 database, which was left without any password protection",app,"100,000 users",HIGH
Walgreens,unknown,error in the Walgreens personal secure messaging features,pharmacy,unknown,MEDIUM
Fresh Film Productions,AWS,unsecured s3 bucket,entertainment,1500 files,MEDIUM
Unknown,AWS,unsecured s3 bucket,unkown,thousands,HIGH
Front Rush,AWS,exposed server,sports,"700,000 files",HIGH
City Brain,Elasticsearch,"left open without any authentication, leaving all the data from its processing open for anybody to view.",technology,56GB,MEDIUM
LimeLeads,Elasticsearch,"one of the company's servers had been indexed by search engine Shodan as an open system since at least July 27, 2019",business,49 million,CRITICAL
PussyCash,AWS,open folder,adult entertainment,4000 models,HIGH
Crew and Concierge Limited,AWS,It was left exposed on a misconfigured unsecured Amazon Web Services (AWS) S3 bucket and appears to have been online and available for anyone to access without a password since February 2019.,recruiting,"17,379 people",MEDIUM
Rotherwood Healthcare,AWS,"Amazon Web Services S3 bucket accessible to everyone on the internet, the British company’s website privacy policy consisted solely of lorem ipsum placeholder text.",healthcare,"10,000 records",HIGH
Pabbly,unknown,open and publicly accessible database that contained millions of records and a massive amount of email addresses,business,51.2 million records,CRITICAL
Cameo,aws,"misconfigured app, anyone with cameo credentials could get into S3 buckets",entertainment,,MEDIUM
Rallyhood,aws,left one of its cloud storage buckets containing user data open and exposed,social network,4.1 terabytes of uploaded files,MEDIUM
Rogers,unknown,"""Rogers became aware that one of our external service providers had inadvertently made information available online that provided access to a database managed by that service provider""",retail,,MEDIUM
EasyJet,unknown,unknown,transportation,9 million,CRITICAL
BlueKai,unsecured server,"misconfigured server between parent company, accessbile without password",technology,"""billions of records""",CRITICAL
AIS,elasticsearch,unsecured server with no protection,telecommunications,8.3 billion documents,CRITICAL
CAM4,elasticsearch,unsecured server with no protection,adult entertainment,10.8 billion,CRITICAL
LiveJournal,unknown,"unknown, database just floating around",social networking,26 million credentials,CRITICAL
Wishbone,unknown,"unknown, database hacked",social networking,40 million records,CRITICAL
Bigfooty.com,elasticsearch,misconfigured database,social networking,132 GB,MEDIUM
OneClass,elasticsearch,"unsecured database, accessible to the public",education,8.9 million records,CRITICAL
ETHERAZ,unknown,"lack of protection, anyone could request a QR code from the server",technology,over 1 million,CRITICAL
Mobi Friends,elasticsearch,"easily decrypted passwords, unsecured elasticsearch database",social networking,3.7 million,CRITICAL
Babylon,unknown,software error that allowed users to access other users's records,healthcare,"""handful""",MEDIUM
Joomla,AWS,unencrypted full site backups were stored in an AWS S3 bucket,technology,"2,700 users",MEDIUM
Key Ring,AWS,"Instead of setting the S3 buckets storing user files to “private,” Key Ring developers misconfigured the buckets",app,14 million users,CRITICAL
Facebook,elasticsearch,"unsecured database, server belongs to whoever stole the data in the first place?",social networking,267 million profiles,CRITICAL
Paay,unknown,"there was no password on the server, anyone could access the data inside",finance,2.5 million records,CRITICAL
US Marshal Service,unknown,hacker breached DSNet by exploiting a vulnerability and then extracted information,government,"387,000 inmates",HIGH
Twitter,unknown,"business users’ billing information was inadvertently stored in the browser’s cache, and it was “possible” that others, such as those who share computers, could have accessed it.",social networking,unknown,MEDIUM
C-Planet IT Solutions,unknown,unprotected database,technology,"337,000 voters",HIGH
Maropost,Google Cloud,unprotected database,marketing,20 billion users,CRITICAL
Canada,unknown,"""administrative error""",government,247 passengers,MEDIUM
Advanced Computer Software Group Limited,unknown,unsecured online database,technology,"10,000 legal docs",HIGH
Jio,unknown,security lapse exposed one of the symptom checker’s core databases to the internet without a password,telecommunications,,MEDIUM
Digital Ocean,unknown,an internal Digital Ocean document that was mistakenly left accessible online,technology,,MEDIUM
Illinois Department of Employment,unknown,"“made some private information publicly available for a short time, and worked to immediately remedy the situation,”",government,,MEDIUM
MMPSY,elasticsearch,misconfigured server,government,,MEDIUM
BHIM,AWS,"409GB database was stored in a misconfigured AWS S3 bucket, making all data publicly accessible",app,7 million,CRITICAL
Dating Apps,AWS,misconfigured AWS S3 bucket containing 845GB of private dating app records,social networking,845GB,MEDIUM
Wattpad,unknown,"hacker got in and stole the database, then put it up for sale on dark web online forum",publishing,270 million records,CRITICAL
CouchSurfing,unknown,theory is that the data was from a misplaced backup file in the cloud environment,lodging,17 million records,CRITICAL
Mycastingfile,elasticsearch,open server with no protection,entertainment,"260,000 individuals",HIGH
V Shred,AWS,unsecured AWS S3 bucket,fitness,"99,000 individuals",HIGH
MongoDB,unknown,"unsecured database, hacker scans for misconfigured db's and then wipes them clean with a ransom note",tech,23k databases,MEDIUM
Intel,Akami CDN,unsecured server,tech,20GB database,MEDIUM
View Media,AWS,unsecured S3 bucket,media,39 million records,CRITICAL
Mailfire,elasticsearch,hacker gained access through unsecured server,marketing,320 million records,CRITICAL
Aspire News,unknown,unprotected cloud server left open for anyone,app,unknown,MEDIUM
University of Tasmania,unknown,security settings on shared files were misconfigured which made the information publicly visible,education,"20,000 students affected",HIGH
Transport for NWS,AWS,AWS S3 Bucket left open,transportation,"54,000 records",HIGH
VPN apps,unknown,"unsecured server, completely open and accesible to anyone",app,1 billion records,CRITICAL
Social Data,unknown,"uncovered three identical copies of the exposed data on August 1 that were hosted at three separate IPv6 addresses,",marketing,"235 million tik tok, facebook, and youtube users",CRITICAL
CluBillion,elasticsearch,"gaming related data hosted on Amazon Web Services was left exposed from the past few weeks to hackers because of a technical glitch. All the log action like when an individual player entered the game, won it, lose updated the account, created account was available to be accessed by anyone on the cloud platform.",entertainment,200 million reccords daily,CRITICAL
ancestry.com,elasticsearch,exposed MacKiev server that leaked 25GB of Ancestry user data and MacKiev Software user subscription.,genealogy,"60,000 customers",HIGH
promo.com,unknown,data security vulnerability on a 3rd party service had caused a breach,media,22 million customers,CRITICAL
avon,azure elasticsearch,Elasticsearch database on an Azure server publicly exposed with no password protection or encryption.,beauty,19 million customers,CRITICAL
telmate,unknown,unsecured database,communications,1 million inmates,CRITICAL
Razer,elasticsearch,"misconfigured Elasticsearch cloud cluster that exposed a segment of Razer’s infrastructure to the public internet, for anyone to see",entertainment,"100,000 gamers",HIGH
town sports,unknown,database without a password or any other authentication required to access it,health,"600,000 customers",HIGH
Windeln.de,elasticsearch,customers’ personal data was publicly exposed on an unsecured server for nearly two weeks,retail,unknown,MEDIUM
Wales Public Health,unknown,data was accidentally uploaded to a public server giving anyolne access,heathcare,"18,000 residents",HIGH
Digital Point,elasticsearch,"database set to open and be visible in any browser (publicly accessible) and could have been edited, downloaded, or even deleted data without administrative credentials",website,"62,858,144 records",MEDIUM
South East Coast Ambulance Service,unknown,unsecure database left publicly accessible,healthcare,,MEDIUM
LogBox,unknown,exposed database,app,,MEDIUM
Providence Health Plan,unknown,coding error,healthcare,"49,511 members",MEDIUM
LPM Property Management,aws,unsecured database,property,"31,000",HIGH
Argentina Government,elasticsearch,database exposed on the web without a password or any other authentication required to access it,government,"115,000 people",HIGH
BioTel Heart,aws,misconfigured Amazon s3 storage bucket,healthcare,"60,000 records",HIGH
"Utah-based gun exchange, hunting, and kratom sites",aws,hacker stole the database,weapon,"281,999 records",MEDIUM
RailYatri,elasticsearch,publicly exposed without password protection or encryption for several days,travel,"700,000",HIGH
Broadvoice,Elasticsearch,unprotected server that required no authorization to access,communications,350 million records,CRITICAL
Martin County,S3 Bucket,pubicly accessable storage bucket was found by a researcher,government,"1,254 accounts",MEDIUM
Prestige Platform,S3 Bucket,misconfigured AWS S3 bucket,hospitality,10 million files,CRITICAL
Vertafore,unknown,unsecured external storage system,insurance,27.7 million records,CRITICAL
Spotify,unknown,"unknown but ""software vulnerability, security bug""",music,unknown,MEDIUM
Pfizer,Google,misconfigured Google Cloud storage bucket,pharmaceutical,unknown,MEDIUM
mashable.com,unknown,hackers leaked database and claimed it had no password,media,5.22GB,MEDIUM
pray.com,AWS,"vpnMentor analysts found several open, publicly accessible cloud databases (Amazon Web Services S3 buckets)",app,10 million users,CRITICAL
NetGallery,unknown,unauthorized and unlawful access to a backup file of the NetGalley database,media,unknown,MEDIUM
hospitals and medical centers,NAS,Millions of images were unencrypted and could be accessed without password protection,healthcare,more than 45 million,CRITICAL
Headlam Group,unknown,unauthorized user gained access to data,labor,unknown,MEDIUM
Chespeake Reginoal Healthcare,unknown,The incident occurred due to a security incident affecting donor and fundraising software vendor Blackbaud.,healthcare,"23,000 individuals",HIGH
Made in Oregon,unknown,an unauthorized third party accessed information in an attack dating from February to August this year,retail,unknown,MEDIUM
Magnolia Pediatric,unknown,any individual who had the ability to encrypt the MBR had access to the entire server,healthcare,,MEDIUM
0x00sec,unknown,"did not separate buckets for uploads and backups. Instead, we used ACLs to allow public access to the entire bucket to store user uploads with the exception of a subfolder that blocks public access which we used for backups.",hacking,,MEDIUM
Dr Lal PathLabs,AWS,unsecured storage bucket,healthcare,2 million records,CRITICAL
HomeWAV,unknown,left a dashboard for one of its databases exposed to the internet without a password,communications,,MEDIUM
TRUE,unknown,left a server exposed,app,"500,000",HIGH
Sophos,unknown,misconfigured database,technology,,MEDIUM
GrowDiaries,Elasticsearch,the company left two Kibana apps exposed on the internet without administrative passwords,marijuana,3.4 million,CRITICAL
Deloitte,unknown,"YAML configuration file publicly accessible. And within the file, in cleartext, is the username and password for the site's mySQL database.",business,,MEDIUM
Animal Jam,AWS,threat actors obtained WildWork's AWS key after compromising the company's Slack server,game,46 million,CRITICAL
COVID-KAYA,unknown,web and Android apps allowed for unauthorized users to access private data about the platform’s users and potentially patient data,app,,MEDIUM
Cloud Custers Inc,cloud custers?,non-password protected database,technology,63 million,CRITICAL
TronicaXchange,AWS,wide open S3 bucket,retail,2.6 million,CRITICAL
Albert Einstein Hospital,unknown,"hospital employee uploaded a spreadsheet with usernames, passwords, and access keys to sensitive government systems",healthcare,16 million,CRITICAL
Probase,Azure,"No security controls were in place on the Azure blob, meaning it was entirely public-facing, and anyone with the address of the files stored in it could view them without authentication – so they didn't need to log in or pass any kind of security check.",app,"500,000",HIGH
NOW: Pensions,unknown,"a service provider ""unintentionally"" posted user data to an unnamed ""public software forum""",finance,,MEDIUM
A Cayman Island Investment Fund,Azure,ailing to properly configure a secure Microsoft Azure blob,finance,,MEDIUM
Apodis Pharma,Elasticsearch,misconfigured database,pharmaceutical,"67,845,860",MEDIUM
21 Buttolns,AWS,AWS S3 bucket wide open with no encryption or password protection,social networking,50 million,CRITICAL
Cloud_Entity_0,AWS,AWS EKS with misconfigured logging policy exposing sensitive data.,Data Exposure,"500,000 records",HIGH
Cloud_Entity_1,Alibaba Cloud,Alibaba Cloud ECS with misconfigured monitoring exposing instance metrics.,Data Exposure,"25,000 records",HIGH
Cloud_Entity_2,Oracle Cloud,Oracle Cloud Database with no audit logging.,Monitoring,1.2 million records,CRITICAL
Cloud_Entity_3,Oracle Cloud,Oracle Cloud Functions with misconfigured environment variables exposing secrets.,Data Exposure,1.2 million records,CRITICAL
Cloud_Entity_4,GCP,GCP Cloud DNS with open zone access.,Access Control,"25,000 records",HIGH
Cloud_Entity_5,GCP,GCP Cloud Functions with misconfigured event trigger allowing unauthorized invocation.,Access Control,"500,000 records",HIGH
Cloud_Entity_6,Alibaba Cloud,Alibaba Cloud ECS with misconfigured user data script enabling remote code execution.,Code Injection,"25,000 records",HIGH
Cloud_Entity_7,GCP,GCP Cloud SQL with misconfigured database flag allowing privilege escalation.,Privilege Escalation,"500,000 records",HIGH
Cloud_Entity_8,Alibaba Cloud,Alibaba Cloud RDS with misconfigured parameter group allowing insecure connections.,Network Security,"500,000 records",HIGH
Cloud_Entity_9,Azure,Azure Databricks with misconfigured notebook allowing code injection.,Code Injection,10.5 million records,CRITICAL
Cloud_Entity_10,GCP,GCP Cloud Functions with misconfigured event trigger allowing unauthorized invocation.,Access Control,"500,000 records",HIGH
Cloud_Entity_11,IBM Cloud,IBM Cloud Databases with weak encryption.,Encryption,"500,000 records",HIGH
Cloud_Entity_12,AWS,AWS Redshift with public access.,Network Security,"500,000 records",HIGH
Cloud_Entity_13,Azure,Azure Stream Analytics with misconfigured job output allowing data exfiltration.,Data Exfiltration,Unknown,MEDIUM
Cloud_Entity_14,IBM Cloud,IBM Cloud Functions with no access control.,Access Control,"25,000 records",HIGH
Cloud_Entity_15,AWS,AWS CloudTrail with no log file validation.,Monitoring,"25,000 records",HIGH
Cloud_Entity_16,Alibaba Cloud,Alibaba Cloud ECS with misconfigured disk encryption exposing data.,Encryption,1.2 million records,CRITICAL
Cloud_Entity_17,Alibaba Cloud,Alibaba Cloud ECS with misconfigured disk snapshot allowing data exposure.,Data Exposure,1.2 million records,CRITICAL
Cloud_Entity_18,GCP,GCP Cloud Monitoring with misconfigured dashboard exposing sensitive metrics.,Data Exposure,2 million records,CRITICAL
Cloud_Entity_19,Alibaba Cloud,Alibaba Cloud ECS with misconfigured security group allowing SSH brute force.,Authentication,"500,000 records",HIGH
Cloud_Entity_20,GCP,GCP Cloud DNS with misconfigured zone transfer allowing DNS data exposure.,Data Exposure,"500,000 records",HIGH
Cloud_Entity_21,Oracle Cloud,Oracle Cloud VCN with misconfigured NAT gateway allowing traffic interception.,Network Security,Unknown,MEDIUM
Cloud_Entity_22,IBM Cloud,IBM Cloud Kubernetes with misconfigured resource limits allowing resource exhaustion.,Denial of Service,"500,000 records",HIGH
Cloud_Entity_23,GCP,GCP BigQuery with misconfigured table ACLs allowing data leakage.,Data Exposure,Unknown,MEDIUM
Cloud_Entity_24,Alibaba Cloud,Alibaba Cloud OSS with no lifecycle policy.,Data Protection,2 million records,CRITICAL
